Loan #,Loan Type,Notional,Rate,Term,Asset,Asset Value,Dep Rate
1,Auto Loan,17920.01976,0.191606412,59,Lamborghini,14495.99142,0.114
2,Auto Loan,19805.4362,0.164483663,58,Civic,16243.78906,0.114
3,Auto Loan,26282.12875,0.166528822,62,Lexus,22719.76774,0.106
4,Auto Loan,26146.79926,0.160032105,66,Lamborghini,21997.67464,0.133
5,Auto Loan,24189.63906,0.18721505,54,Civic,20844.07908,0.124
6,Auto Loan,19860.29769,0.195276477,71,Lexus,16576.82669,0.096
7,Auto Loan,17063.57164,0.151613385,61,Lamborghini,13612.84896,0.082
8,Auto Loan,18161.99245,0.172468944,63,Civic,14800.91746,0.104
9,Auto Loan,15228.7066,0.169803284,62,Lexus,12903.45599,0.109
10,Auto Loan,15730.94999,0.178782932,68,Lamborghini,14016.69718,0.107
11,Auto Loan,17264.99605,0.144855398,57,Civic,13355.36041,0.109
12,Auto Loan,17048.43674,0.168226243,58,Lexus,14937.03852,0.12
13,Auto Loan,15500.96838,0.159701339,56,Lamborghini,11767.28771,0.1
14,Auto Loan,22906.8692,0.135940999,60,Civic,18649.00978,0.127
15,Auto Loan,18537.7025,0.178405772,62,Lexus,15960.79932,0.121
16,Auto Loan,24604.10108,0.139494419,65,Lamborghini,21026.2254,0.107
17,Auto Loan,28182.11461,0.160889673,70,Civic,22118.81487,0.112
18,Auto Loan,17629.82436,0.192402979,62,Lexus,14659.72365,0.127
19,Auto Loan,16412.82729,0.159046157,70,Lamborghini,13182.67885,0.125
20,Auto Loan,23132.65804,0.138458633,71,Civic,19469.60865,0.114
21,Auto Loan,17567.52233,0.166766793,54,Lexus,15399.3133,0.133
22,Auto Loan,19838.77473,0.148273595,61,Lamborghini,15433.26337,0.15
23,Auto Loan,11299.89492,0.146337191,57,Civic,9089.946569,0.147
24,Auto Loan,17515.53516,0.152946689,65,Lexus,14644.34203,0.15
25,Auto Loan,16766.92345,0.179820779,61,Lamborghini,12887.71765,0.102
26,Auto Loan,20806.79829,0.151180726,58,Civic,17857.37665,0.083
27,Auto Loan,16931.76315,0.130800117,61,Lexus,15003.96999,0.135
28,Auto Loan,22998.01589,0.199922023,68,Lamborghini,18752.59063,0.081
29,Auto Loan,24119.91188,0.195671275,65,Civic,21127.11175,0.104
30,Auto Loan,17527.92474,0.164390339,58,Lexus,15493.11802,0.106
31,Auto Loan,23173.13978,0.154301489,61,Lamborghini,18104.92963,0.116
32,Auto Loan,17215.71712,0.165709977,68,Civic,13754.08369,0.09
33,Auto Loan,19106.46831,0.130254879,63,Lexus,14252.89056,0.127
34,Auto Loan,20007.86772,0.190101039,51,Lamborghini,15692.02884,0.116
35,Auto Loan,24713.65233,0.149995369,66,Civic,19934.77058,0.106
36,Auto Loan,21685.54835,0.17762361,57,Lexus,17908.41464,0.146
